,SYMBOL,tp,wp,mp,tmp,smp,yp
211,DWARKESH,92.75,88.8,101.4,27.8,76.45,74.25
212,ECLERX,1340.25,1319.7,1460.65,1586.85,2274.65,2367.25
213,EDELWEISS,62.05,57.9,62.2,57.85,81.0,79.8
214,EICHERMOT,3755.15,3850.45,3498.55,17791.6,2826.35,2723.0
215,EIDPARRY,642.75,619.4,615.8,131.3,494.7,503.9
216,EIHAHOTELS,475.45,496.3,482.2,200.05,420.95,395.8
217,EIHOTEL,185.4,193.85,191.05,97.85,143.8,142.5
218,EKC,113.45,108.5,122.3,8.1,123.25,139.85
219,ELECON,416.95,377.1,339.3,71.75,165.7,173.35
220,ELECTCAST,42.35,40.15,37.0,17.1,36.9,35.2
221,ELECTHERM,72.6,75.2,80.55,45.2,134.6,122.7
222,ELGIEQUIP,500.2,484.65,426.3,121.85,202.05,214.5
223,ELGIRUBCO,33.9,33.45,32.2,23.35,39.35,37.75
224,EMAMILTD,484.15,474.05,487.75,1152.6,544.65,556.55
225,EMKAY,79.1,79.1,85.65,54.85,117.8,119.0
226,EMMBI,97.6,97.65,98.3,34.75,107.15,103.75
227,ENERGYDEV,18.45,18.3,18.85,28.2,11.05,12.95
228,ENGINERSIN,73.2,70.25,64.4,191.15,79.4,71.1
229,ENIL,161.3,160.85,165.1,728.0,187.2,210.05
230,ESABINDIA,3398.95,3359.0,3505.55,547.2,2438.5,2711.65
231,ESCORTS,1957.55,2038.35,2134.3,152.75,1551.25,1580.75
232,ESSARSHPNG,9.1,8.35,8.95,18.25,11.0,9.85
233,ESTER,164.55,172.95,181.1,45.7,150.1,138.3
234,EVEREADY,335.9,293.2,327.45,289.5,376.1,337.7
235,EVERESTIND,937.45,893.25,795.7,319.3,458.45,414.2
236,EXCEL,0.4,0.5,0.6,26.8,3.15,3.05
237,EXCELINDUS,1219.1,1181.35,1285.05,262.55,1083.6,947.35
238,EXIDEIND,176.9,165.75,157.2,155.65,185.65,181.35
239,FACT,131.85,117.8,123.1,19.6,126.45,118.05
240,FCL,328.95,363.35,368.4,20.05,122.25,121.85
241,FCSSOFT,2.65,2.7,2.85,0.5,1.6,1.65
242,FDC,307.9,312.1,283.4,238.6,353.85,306.25
243,FEDERALBNK,137.0,131.5,122.85,63.95,95.3,100.1
244,FIEMIND,1623.4,1614.0,1435.7,546.65,1275.3,1259.5
245,FILATEX,101.1,100.15,102.05,50.15,117.6,102.65
246,FINCABLES,531.45,521.5,463.7,233.4,495.6,505.05
247,FINPIPE,156.9,133.95,142.6,260.1,229.35,226.8
248,FLEXITUFF,31.6,25.5,27.1,223.75,17.75,17.8
249,FMGOETZE,313.8,321.25,337.25,369.95,277.1,267.8
250,FMNL,4.95,5.05,5.0,14.25,10.5,8.55
251,FORTIS,287.45,277.45,275.2,168.9,262.7,257.25
252,FOSECOIND,2083.6,1994.75,2004.85,1245.55,1485.3,1478.35
253,FSL,104.2,103.85,105.5,26.4,215.6,177.55
254,GABRIEL,161.6,153.7,156.2,84.75,153.35,152.0
255,GAEL,247.15,252.8,279.25,50.2,178.85,177.4
256,GAIL,90.55,91.3,86.85,302.3,161.35,148.0
257,GAL,2.65,2.55,2.9,39.0,2.35,2.25
258,GALLANTT,63.4,62.25,59.6,24.0,81.0,76.05
259,GANDHITUBE,516.75,419.5,458.5,287.95,442.65,431.4
260,GANECOS,831.5,818.8,698.35,117.75,494.15,500.75
261,GANESHHOUC,352.5,346.9,384.2,100.4,212.95,209.6
262,GATI,170.3,175.5,180.25,138.65,145.55,169.1
263,GEECEE,158.8,151.3,151.1,74.5,155.9,154.8
264,GENESYS,512.45,524.9,527.6,52.6,279.35,270.25
265,GENUSPAPER,19.3,18.45,15.8,3.5,12.05,11.1
266,GENUSPOWER,86.25,88.9,82.15,31.2,91.15,66.75
267,GESHIP,602.8,557.15,555.75,369.2,345.1,333.65
268,GHCL,616.1,646.55,679.1,136.35,466.95,415.5
269,GICHSGFIN,139.9,134.05,132.75,196.3,161.0,162.15
270,GILLANDERS,69.8,61.85,64.75,53.75,57.5,51.0
271,GILLETTE,5180.0,5142.55,5172.75,4865.1,5808.65,5702.45
272,GINNIFILA,34.2,33.6,35.1,22.95,34.5,33.0
273,GIPCL,85.8,83.75,89.2,72.35,99.8,88.0
274,GKWLIMITED,591.95,590.0,606.2,472.55,668.6,642.25
275,GLAXO,1338.2,1377.35,1395.05,3359.55,1474.8,1612.35
276,GLENMARK,423.0,404.55,398.05,1049.2,519.0,523.8
277,GLOBALVECT,53.9,52.15,59.35,81.7,57.0,53.3
278,GLOBUSSPR,794.2,789.8,853.4,59.4,1382.1,1211.2
279,GMBREW,583.4,585.65,639.6,490.65,803.05,787.25
280,GMDCLTD,154.9,141.25,142.6,71.6,77.35,70.8
281,GMRINFRA,38.2,37.45,35.45,13.55,43.0,42.05
282,GNFC,711.95,709.15,668.0,57.9,483.0,468.95
283,GOACARBON,598.1,407.45,445.85,68.15,411.0,386.4
284,GODFRYPHLP,1656.55,1484.5,1310.35,640.35,1314.75,1282.4
285,GODREJCP,826.85,829.3,829.85,1219.85,1017.15,919.6
286,GODREJIND,422.5,429.35,430.6,348.1,578.1,630.15
287,GODREJPROP,1260.25,1263.0,1226.95,329.1,2502.8,2291.95
288,GOKEX,365.95,367.0,397.7,57.9,223.95,249.5
289,GOLDBEES,43.74,43.23,44.49,2387.0,40.98,42.45
290,GOLDIAM,138.95,125.65,131.55,38.85,964.55,903.9
291,GOLDSHARE,43.7,43.3,44.25,2383.45,41.15,42.65
292,GOODLUCK,432.7,446.55,486.5,86.95,307.15,292.4
293,GPIL,280.8,264.05,276.1,73.0,1424.5,296.6
294,GPPL,88.35,86.0,90.0,185.35,116.6,109.95
295,GRANULES,365.4,372.65,348.2,140.8,325.2,311.25
296,GRAPHITE,362.5,352.4,373.65,67.95,619.75,527.75
297,GRASIM,1775.2,1721.7,1697.9,3517.85,1753.95,1858.45
298,GRAVITA,366.3,370.35,342.3,28.4,207.5,218.9
299,GREAVESCOT,157.25,151.2,154.55,129.2,139.3,134.3
300,GREENLAM,323.3,319.5,320.6,390.05,1401.2,1469.95
301,GREENPLY,171.15,172.9,181.5,946.9,209.15,230.2
302,GRINDWELL,2128.15,2103.0,2063.15,725.85,1575.85,1775.05
303,GRPLTD,1800.3,1824.6,1903.05,941.0,972.8,950.8
304,GSCLCEMENT,39.15,39.95,40.6,23.55,50.35,46.55
305,GSFC,127.9,123.05,132.7,70.05,133.9,130.75
306,GSPL,230.1,226.15,225.75,117.7,328.1,315.05
307,GSS,287.15,283.0,232.7,31.7,82.85,81.35
308,GTL,8.25,7.75,8.3,11.2,14.6,16.35
309,GUFICBIO,227.2,220.8,222.3,37.4,194.25,197.05
310,GUJALKALI,903.45,891.0,909.05,164.8,815.35,680.85
311,GUJAPOLLO,198.1,202.0,212.1,123.15,210.7,224.25
312,GULFOILLUB,430.3,413.45,431.6,477.1,599.15,591.0
313,GULFPETRO,52.75,52.8,57.15,43.1,54.4,49.25
314,HARRMALAYA,139.45,137.45,150.05,44.65,184.75,170.9
315,HATHWAY,16.05,15.95,16.5,36.75,26.5,20.7
316,HATSUN,961.95,957.65,1063.0,394.4,1479.2,1355.2
317,HAVELLS,1232.45,1216.3,1350.75,252.25,1454.7,1372.7
318,HBLPOWER,106.15,104.35,114.65,38.95,58.0,53.1
319,HCC,14.65,14.1,15.15,18.65,11.6,9.85
320,HCL-INSYS,15.85,15.75,16.45,36.2,14.15,13.35
321,HCLTECH,1047.15,1041.15,957.7,982.15,1221.4,1172.35
322,HDFC,2507.4,2469.8,2326.9,1212.75,2811.5,2992.65
323,HDFCBANK,1508.8,1496.7,1430.8,1068.8,1670.3,1553.0
324,HDFCMFGETF,44.84,44.43,45.63,2453.4,42.1,43.48
325,HEG,992.9,1056.3,1151.25,137.95,2513.35,2149.15
326,HEIDELBERG,206.05,189.1,197.7,73.4,258.25,245.95
327,HERCULES,196.2,193.6,195.85,184.95,147.0,148.7
328,HERITGFOOD,318.5,301.35,330.05,390.25,476.25,501.5
329,HEROMOTOCO,2621.05,2676.85,2624.95,2394.5,2904.1,2683.05
330,HESTERBIO,1988.65,1967.85,2015.05,640.9,2524.85,2448.35
331,HFCL,80.0,82.7,79.4,16.45,79.0,75.75
332,HIKAL,344.25,330.4,335.8,110.7,540.35,497.05
333,HIL,2651.0,2852.7,2782.15,686.55,5195.65,4429.1
334,HILTON,75.0,68.0,83.85,13.25,13.75,17.05
335,HINDALCO,437.5,405.65,411.1,70.8,542.8,468.55
336,HINDCOMPOS,323.55,319.75,346.2,1033.65,321.7,340.35
337,HINDCOPPER,112.8,103.0,111.3,53.3,149.2,127.1
338,HINDOILEXP,150.2,138.35,141.55,32.55,190.6,187.05
339,HINDPETRO,209.9,213.85,218.55,773.95,331.7,347.0
340,HINDUNILVR,2532.8,2550.7,2599.7,814.75,2654.0,2404.95
341,HINDZINC,290.8,283.7,287.8,139.8,387.65,324.05
342,HIRECT,232.8,230.2,237.25,71.4,184.6,191.6
343,HITECHGEAR,235.6,214.95,209.6,296.3,259.6,250.2
344,HMVL,51.1,53.35,58.3,234.65,78.6,77.2
345,HNGSNGBEES,237.81,213.14,254.83,2170.0,323.22,319.47
346,HONAUT,40202.35,39332.85,39515.3,9228.4,44134.35,44002.45
347,HONDAPOWER,1837.8,1709.0,1499.7,1140.55,1403.6,1350.65
348,HOVS,53.4,53.85,58.0,73.7,56.65,52.35
349,HTMEDIA,21.3,21.7,23.0,81.45,25.95,27.85
350,IBREALEST,76.95,77.8,77.85,63.85,174.45,189.6
351,IBULHSGFIN,132.0,129.35,135.55,794.05,248.05,230.15
352,ICICIBANK,917.5,908.7,882.55,270.35,745.45,776.6
353,ICIL,136.25,140.3,137.25,912.6,299.3,264.25
354,ICRA,4147.7,4149.4,4015.9,4060.5,3693.65,3531.1
355,IDBI,46.6,43.9,42.7,78.75,59.7,52.85
356,IDBIGOLD,4658.65,4630.85,4764.8,2421.85,4336.85,4510.85
357,IDEA,8.35,8.55,9.1,149.5,10.6,10.3
358,IDFC,81.15,77.45,70.7,141.05,54.85,62.9
359,IFBAGRO,568.25,592.45,580.05,385.7,689.1,677.3
360,IFBIND,936.0,951.6,943.85,477.7,1170.1,1270.15
361,IFCI,11.3,10.2,10.3,21.6,14.1,12.2
362,IGARASHI,400.65,412.7,441.8,535.75,574.7,510.05
363,IGL,423.15,428.25,384.3,477.45,509.0,497.7
364,IGPL,514.2,518.7,549.05,121.8,854.9,791.55
365,IMPAL,747.5,745.0,747.8,672.65,805.75,776.25
366,INDBANK,23.85,23.1,23.6,6.65,24.5,23.05
367,INDHOTEL,343.75,333.8,341.35,86.05,225.45,214.3
368,INDIACEM,248.7,241.1,274.8,78.1,218.45,209.35
369,INDIAGLYCO,819.75,747.25,845.15,88.65,911.85,973.4
370,INDIANB,259.9,253.9,202.95,135.55,171.45,168.95
371,INDIANCARD,215.1,209.7,212.4,166.55,179.1,185.6
372,INDIANHUME,173.2,163.75,177.8,394.95,202.85,208.85
