,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
465,HMVL,73.95,77.6,77.65,74.65,70.65,52.9,271.87275715060565
596,JUBLFOOD,3815.8,3900.05,4331.15,3968.2,3020.15,2620.25,271.78871427492265
654,KSL,352.3,366.35,389.45,384.05,402.85,243.4,271.66144384833467
831,OFSS,4375.7,4465.75,4944.0,4438.95,3659.7,3026.4,271.6180854046936
342,FOSECOIND,1465.75,1467.9,1466.65,1492.1,1387.05,1164.55,271.6099483393029
28,AHLEAST,180.85,184.8,189.0,175.7,154.95,134.2,271.57660918316657
727,MAXIND,75.35,76.0,76.65,69.45,69.2,58.35,271.55576449928566
1265,WONDERLA,233.45,237.4,239.6,223.4,193.7,177.5,271.51477376069846
614,KCPSUGIND,21.2,22.75,22.65,22.7,21.0,14.65,271.48665722993866
1044,SKIPPER,76.05,81.25,78.5,79.45,59.55,54.55,271.4097812443443
828,OAL,767.55,798.05,877.55,805.45,792.25,517.65,271.276086202364
130,BANKINDIA,59.05,62.25,60.3,64.15,78.4,43.5,271.229398293121
503,IDFCFIRSTB,48.6,50.9,48.6,41.8,57.25,36.85,271.20725182801834
1003,SETCO,16.65,17.0,17.8,16.9,20.15,12.15,271.20064380308924
552,ITC,237.5,230.0,245.95,208.9,209.05,190.85,271.056909717492
902,PRESSMN,28.15,28.95,30.95,27.75,24.65,19.9,271.04168625219336
149,BHAGYAPROP,30.95,32.05,32.8,31.1,28.65,22.5,270.90275431342457
951,RICOAUTO,44.1,45.6,46.3,48.75,43.35,32.45,270.769969819169
621,KESORAMIND,61.2,63.3,66.95,80.25,79.35,43.35,270.71752134554436
1065,SPICEJET,77.4,73.2,74.35,67.0,76.25,70.65,270.63989331085554
1255,WELENT,98.7,96.0,98.9,89.7,113.65,82.25,270.63049797775534
705,MALUPAPER,33.4,34.2,35.35,35.0,28.25,24.7,270.5909162344806
36,ALBERTDAVD,596.8,629.95,605.7,569.05,452.6,445.05,270.5784808289177
855,PARAGMILK,141.15,155.15,131.9,115.15,140.55,110.35,270.43034865725156
1085,SUMICHEM,378.05,382.65,403.85,403.75,313.3,281.45,270.35766634464187
159,BIRLAMONEY,61.25,68.1,64.15,61.55,47.9,42.2,270.21509066640374
524,INDLMETER,13.6,12.45,13.1,12.4,14.8,13.1,270.1529783255158
482,ICICIBANKN,378.18,384.37,394.12,349.35,343.36,288.08,270.07898681060215
430,HBANKETF,379.56,387.59,394.62,349.28,341.79,288.43,270.0303984834993
129,BANKBEES,382.82,388.61,399.08,352.95,347.31,292.12,270.02491503271
1147,THYROCARE,1187.45,1118.0,1151.95,1288.25,1033.15,1086.9,269.99874625538587
106,AXISBNKETF,381.26,387.94,397.56,352.61,345.62,290.25,269.9692982681426
1110,SYNGENE,605.05,545.6,610.2,625.55,570.7,563.3,269.95426673338636
980,SANDESH,761.9,800.95,782.55,805.45,752.0,568.25,269.90051338137806
243,DABUR,608.75,599.0,605.25,611.7,536.75,509.1,269.8711013988685
512,IGPL,714.05,811.5,836.3,542.65,550.05,441.9,269.86632557982887
13,ABSLBANETF,378.22,383.64,394.92,349.0,343.55,289.25,269.774641516761
509,IFGLEXPOR,279.15,310.05,317.9,330.95,380.0,180.3,269.69987382032053
269,DIVISLAB,4785.6,4833.25,5192.1,4818.7,4079.9,3546.3,269.68292240812923
783,NAVNETEDUL,107.45,111.5,110.9,100.65,76.95,81.15,269.6338206422678
1007,SETFNIFBK,378.89,385.64,395.21,350.48,344.12,289.55,269.58876127158607
932,RANEENGINE,269.6,269.55,290.6,298.65,282.7,203.75,269.5221261255811
914,PTL,50.35,53.0,50.05,45.45,42.05,39.05,269.34867948952456
499,IDBI,51.65,53.3,55.15,37.45,38.8,38.1,269.30941772101403
640,KOTAKBKETF,382.95,389.67,400.17,354.0,348.11,293.54,269.2011040596887
306,EMMBI,100.7,103.65,104.45,100.2,105.4,76.8,269.1505367385155
1075,STARPAPER,135.35,144.05,148.1,150.5,124.95,94.75,269.0645300036497
1231,VINDHYATEL,1066.65,1150.55,1170.55,1057.4,1058.8,735.05,269.04245828737317
1056,SORILINFRA,103.1,109.85,119.6,107.6,155.15,68.75,268.9152328453641
1096,SUPERHOUSE,158.8,186.1,174.05,160.0,131.65,101.75,268.88951989653197
1174,TV18BRDCST,43.2,46.75,46.25,34.7,40.45,30.4,268.83970302979594
1138,TECHNOE,261.75,256.8,268.25,273.55,330.3,215.2,268.8069451822373
1134,TCS,3475.7,3488.2,3634.15,3559.5,3080.5,2724.25,268.64705285541766
817,NMDC,135.8,144.65,152.35,151.0,176.2,93.55,268.46091332710824
83,ASHOKA,103.8,110.25,113.05,99.35,87.3,73.6,268.45685728524813
