,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
296,ELECTHERM,122.3,125.05,119.1,142.7,113.35,91.45,5.278221508404736
357,GESHIP,330.25,314.65,367.25,329.8,388.55,223.6,5.277117312178769
989,SHALBY,149.95,161.9,174.35,202.3,134.85,91.65,5.275558455310334
709,MATRIMONY,957.75,988.9,978.05,1126.6,936.05,659.8,5.272627794067924
999,SHK,144.3,155.7,154.3,174.05,151.95,88.7,5.267532074968541
646,LAURUSLABS,495.85,564.6,619.2,646.8,481.25,276.8,5.267347274324759
265,DIAMONDYD,686.65,723.35,664.65,751.85,553.95,607.35,5.26576406872452
472,ICICIGI,1517.75,1505.75,1582.55,1445.3,1453.75,1260.45,5.265308398050197
1081,SWARAJENG,1682.2,1674.55,1654.5,1786.6,1544.7,1388.2,5.263674686886752
486,ICRA,3500.05,3659.85,3519.05,3621.05,3388.85,2681.85,5.255423498988325
414,GULFPETRO,49.8,50.45,55.0,63.45,44.75,34.0,5.254995522570465
1043,SREEL,170.0,173.45,185.1,174.05,141.1,144.8,5.254115266748281
359,GFLLIMITED,78.85,76.55,76.4,72.15,70.55,80.35,5.253954610189909
777,NESTLEIND,18939.6,19217.6,19549.95,18057.35,16717.6,17006.65,5.2497445822525854
1078,SUVENPHAR,497.1,515.7,526.8,532.35,542.15,333.85,5.247235529258475
250,DCBBANK,96.25,95.85,89.95,99.9,90.25,84.3,5.24591319033911
778,NETF,186.99,190.1,219.2,194.72,178.45,134.3,5.237185876355721
1096,TATAMETALI,969.9,1013.8,1074.55,1286.45,1162.4,542.0,5.237120968036269
242,DABUR,597.05,581.35,617.95,588.1,545.25,527.2,5.235897805409928
900,QUICKHEAL,226.1,236.8,233.85,305.85,186.1,166.8,5.231378346658288
178,CAMLINFINE,164.45,174.0,189.95,185.4,165.2,107.0,5.2302461033818535
1103,TCIDEVELOP,351.15,365.15,373.35,351.35,299.9,303.35,5.230092784261869
130,BANKINDIA,60.4,61.85,56.6,72.6,68.3,41.1,5.229570112441333
224,CONTROLPR,312.95,316.6,329.2,372.95,313.45,215.5,5.228838718323792
47,AMBER,3126.75,3440.0,3440.4,3021.05,3052.35,2320.3,5.224697541342961
853,PHILIPCARB,222.9,233.4,265.0,260.7,203.25,150.95,5.224477546126256
1162,UJAAS,3.0,3.2,2.85,2.85,2.45,3.15,5.219633906194057
980,SESHAPAPER,173.55,173.9,181.3,200.95,163.9,129.85,5.214307722422617
508,INDIAMART,7190.7,7244.55,8310.6,7432.45,7687.05,4951.75,5.212868571827038
207,CHEMFAB,166.8,193.2,189.95,169.85,147.05,123.1,5.212826835696262
582,JTEKTINDIA,98.45,101.65,105.35,119.75,82.3,76.3,5.211687634420839
1015,SIS,450.1,470.75,496.25,486.6,371.05,375.2,5.200797002321721
