,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1890,WABCOINDIA,EQ,6945.15,6969.7,6945.0,6959.65,6951.0,6961.65,3715,25831839.65,31-JUL-2020,322,INE342J01019
1891,WALCHANNAG,EQ,52.5,52.95,51.0,51.1,51.15,52.05,52996,2723642.35,31-JUL-2020,693,INE711A01022
1893,WATERBASE,EQ,91.9,92.65,90.7,91.0,90.7,91.85,73263,6706953.85,31-JUL-2020,1295,INE054C01015
1895,WEIZMANIND,EQ,32.8,33.25,31.0,32.7,32.85,30.25,100390,3295959.85,31-JUL-2020,646,INE080A01014
1896,WELCORP,EQ,84.15,88.35,83.0,87.8,87.7,84.15,2440921,211949978.7,31-JUL-2020,15366,INE191B01025
1897,WELENT,EQ,57.1,57.45,55.75,56.05,56.1,57.6,215539,12138766.4,31-JUL-2020,1647,INE625G01013
1898,WELINV,EQ,214.05,214.05,214.05,214.05,214.05,214.15,74,15839.7,31-JUL-2020,4,INE389K01018
1899,WELSPUNIND,EQ,37.55,39.2,37.25,39.2,39.2,37.35,1058747,41177038.85,31-JUL-2020,1780,INE192B01031
1900,WENDT,EQ,2439.95,2538.75,2437.95,2442.7,2460.0,2447.75,89,219164.45,31-JUL-2020,69,INE274C01019
1901,WESTLIFE,EQ,350.0,368.0,346.0,364.45,361.0,354.35,305012,108993809.05,31-JUL-2020,10006,INE274F01020
1903,WHEELS,EQ,410.05,413.55,405.0,410.8,411.75,411.95,3625,1486071.1,31-JUL-2020,401,INE715A01015
1904,WHIRLPOOL,EQ,2111.0,2121.6,2044.4,2073.0,2085.0,2123.4,39165,81817692.5,31-JUL-2020,3858,INE716A01013
1905,WILLAMAGOR,EQ,17.55,18.0,16.95,17.35,17.75,17.8,9852,169125.0,31-JUL-2020,104,INE210A01017
1906,WINDMACHIN,EQ,12.55,12.75,12.05,12.1,12.2,12.55,3996,49038.3,31-JUL-2020,66,INE052A01021
1908,WIPRO,EQ,289.6,290.8,278.6,280.95,280.15,284.1,16700905,4731829865.0,31-JUL-2020,162988,INE075A01022
1909,WOCKPHARMA,EQ,264.8,281.7,261.2,276.0,276.5,263.2,2947659,813236829.9,31-JUL-2020,41220,INE049B01025
1910,WONDERLA,EQ,136.5,138.0,135.1,136.65,136.35,135.65,42833,5844034.35,31-JUL-2020,1598,INE066O01014
1913,WSTCSTPAPR,EQ,171.6,173.55,170.1,171.2,172.0,172.45,36047,6188069.05,31-JUL-2020,1100,INE976A01021
1914,XCHANGING,EQ,46.8,48.55,46.75,48.2,48.2,47.75,24585,1179879.7,31-JUL-2020,252,INE692G01013
1917,YESBANK,EQ,12.05,12.1,11.9,11.95,12.0,11.95,120256191,1440410819.85,31-JUL-2020,104416,INE528G01035
1918,ZEEL,EQ,140.9,141.05,138.1,138.75,138.7,140.2,17793629,2474871132.85,31-JUL-2020,86064,INE256A01028
1920,ZEELEARN,EQ,13.7,14.05,13.4,13.5,13.45,13.75,550739,7533771.6,31-JUL-2020,1288,INE565L01011
1922,ZENITHEXPO,EQ,34.25,35.95,34.05,35.6,35.05,34.7,864,30265.4,31-JUL-2020,24,INE058B01018
1923,ZENSARTECH,EQ,168.8,170.25,158.0,159.95,160.8,168.6,372174,60344885.05,31-JUL-2020,7150,INE520A01027
1924,ZENTEC,EQ,58.0,60.85,58.0,58.8,58.5,58.7,274566,16269116.05,31-JUL-2020,2884,INE251B01027
